CED_Name,CED_Number,vote_yes,pop,females,first_nations_pop,born_overseas,completed_highschool,median_age,age_over_65,median_monthly_mortgage_repayment,median_income_personal,median_income_family,median_income_household,median_rent,avg_household_size,married,divorced,never_married,unemployment,bachelors_degree,postgrad_degree,christian,hinduism,islam,judaism,no_religion
Melbourne Ports,CED232, 65.3 ,160699,82272,527,57201,102762,35,19466,2167,1042,2515,1866,420,2.1,50054,11901,71544,5.4,41747,16065,49546,3701,1841,15899,63467
Menzies,CED233, 73.5 ,137535,70776,298,50120,71993,43,27491,2000,646,1953,1701,410,2.8,66126,6571,32945,5.8,24565,8006,72382,1836,2670,369,43682
Murray,CED234, 46.7 ,145366,73227,3757,15996,39240,44,31215,1300,558,1349,1080,205,2.4,59335,10912,35397,5.6,9172,1595,82387,701,3811,28,40768
Scullin,CED235, 64.1 ,167966,84680,1109,61224,73259,35,22495,1733,569,1567,1434,325,2.9,72896,8781,43183,7.2,17856,5434,89957,6533,13178,50,34008
Wannon,CED236, 68.1 ,133772,67237,2132,10614,38541,45,29352,1192,554,1345,1043,200,2.3,53985,10070,34416,5.2,9705,1621,74853,269,236,52,42566
Wills,CED237, 73.7 ,169649,86728,856,56817,90565,35,23352,1950,686,1862,1515,356,2.5,59347,9296,62262,6.8,30884,12169,72497,4859,16048,234,55604
Blair,CED301, 67.5 ,156319,78993,7092,23044,51710,34,20603,1517,625,1482,1303,295,2.7,53307,11510,44935,8.7,9501,1919,90374,961,606,69,46511
Bonner,CED302, 56.8 ,149636,76897,2626,41274,73084,38,22008,2015,749,2050,1742,400,2.7,60527,10218,40437,6.3,22281,6719,85984,2648,1964,172,42850
Bowman,CED303, 63.4 ,147010,75022,3431,33203,59331,41,26193,1950,686,1815,1521,386,2.6,61910,11446,35222,6.1,13385,3106,88137,633,406,106,44527
Brisbane,CED304, 67.7 ,163886,82052,1734,45871,103465,33,15771,2167,938,2466,1868,400,2.3,51452,11076,71720,6.1,39336,13101,74643,3334,2057,314,60049
Capricornia,CED305, 56.2 ,150720,73797,8047,14361,47834,37,21257,1733,671,1733,1418,250,2.5,57832,10603,40577,7.8,10073,1873,96048,739,589,24,34692
Dawson,CED306, 54.5 ,156313,76985,8628,21057,52113,38,22344,1770,694,1703,1381,275,2.5,59839,11367,43673,7.9,11414,2051,97213,834,440,61,38986
Dickson,CED307, 60.4 ,146217,74003,3005,27247,64254,37,18547,1896,746,1946,1739,350,2.8,61100,9447,36070,6.1,15782,3687,86498,1159,355,93,45050
Fadden,CED308, 55.3 ,169600,87324,3007,50918,68698,38,27632,1940,658,1642,1419,395,2.6,65048,14417,46024,7.5,15116,4034,91876,1044,2139,290,53666
Fairfax,CED309, 58.7 ,153463,79645,3012,30258,62271,42,29533,1740,630,1519,1298,370,2.5,62686,13681,37337,7.1,16226,3634,82388,557,373,166,53605
Fisher,CED310, 52.1 ,140166,72424,2696,27142,54317,43,30263,1830,599,1466,1247,375,2.5,57786,12304,34121,7.3,13293,2876,77895,544,219,85,46591
Flynn,CED311, 68.0 ,155488,75568,8227,17621,46449,37,20278,1733,633,1673,1384,225,2.6,61904,10681,38882,8.6,9079,1364,95928,763,524,48,38907
Forde,CED312, 63.9 ,165538,84380,4701,42842,60346,34,21053,1777,663,1618,1463,360,2.9,59845,11865,45829,8,10982,2241,91072,1121,2063,109,52387
Griffith,CED313, 60.4 ,157602,79957,1919,43104,93995,33,15750,2167,899,2362,1890,400,2.4,52346,10756,61403,5.9,34255,11618,75836,3086,2207,244,55394
Groom,CED314, 54.3 ,148866,76722,6015,17697,54229,38,25509,1535,657,1585,1298,282,2.5,59122,10229,38005,6.8,14098,3661,99966,1211,1586,56,30553
Herbert,CED315, 43.9 ,159998,80362,13628,21730,62421,33,18762,1733,691,1663,1392,295,2.5,52149,11940,53021,9.4,14313,3270,93556,762,861,62,46530
Hinkler,CED316, 59.9 ,141716,72991,5831,20075,40645,46,36106,1400,484,1143,946,275,2.3,58073,12847,32633,11.1,8947,1558,86389,477,434,64,38910
Kennedy,CED317, 64.7 ,155394,76089,21471,18543,45574,40,26575,1511,595,1409,1177,220,2.5,57044,11332,44181,7.8,9026,1531,94275,417,344,44,38732
Leichhardt,CED318, 65.4 ,175449,88427,29086,35817,67013,37,21298,1681,668,1552,1314,280,2.5,55261,14142,58700,8.2,16007,3647,91263,1319,548,181,54930
Lilley,CED319, 35.1 ,155375,79842,3306,36391,77131,37,23463,1950,774,1994,1609,362,2.5,57779,11825,47425,6,23427,6219,87354,3214,1173,121,45846
Longman,CED320, 62.7 ,160594,81576,5931,27095,52280,38,27385,1733,580,1430,1256,320,2.7,61296,12798,41406,8.9,8900,1541,90207,501,302,74,51176
Maranoa,CED321, 65.5 ,149266,74157,8898,12230,42916,42,28973,1300,569,1332,1083,200,2.4,60297,10875,36018,5.6,9176,1271,101490,357,195,51,29866
McPherson,CED322, 83.7 ,151581,78829,2539,37376,64953,40,26962,1928,662,1657,1395,400,2.5,57158,13592,42016,6.2,16591,4212,83697,803,581,287,48877
Moncrieff,CED323, 82.0 ,160734,82137,2333,49837,74082,39,29626,1798,649,1539,1254,370,2.3,55415,16062,53706,7.5,19256,4908,81521,1769,1378,550,51658
